Zboží;Poèet SVM;Kateg.zboží
1080495;0,000;B0205
1083857;0,000;C0103
1083856;0,000;C0103
1083855;0,000;C0103
1085638;0,000;C0103
1090662;0,000;C0105
1088649;0,000;C0105
1085637;0,000;C0105
1083854;0,000;C0105
1083853;0,000;C0105
1088654;0,000;C0105
1083850;0,000;C0105
1083849;0,000;C0105
1104115;0,000;C0105
1083845;0,000;C0105
1080493;0,000;B0205
1080494;0,000;B0205
1080492;0,000;B0205
1109183;0,000;B0205
1109182;0,000;B0205
1080488;0,000;B0205
1080487;0,000;B0205
1080486;0,000;B0205
1080491;0,000;B0205
1080485;0,000;B0205
1109181;0,000;B0205
1080484;0,000;B0205
1080490;0,000;B0205
1080489;0,000;B0205
1080483;0,000;B0205
1115533;0,000;C0105
1099054;0,000;C0105
1099053;0,000;C0105
1099052;0,000;C0105
1115532;0,000;C0105
1115531;0,000;C0105
1101184;0,000;C0105
1083842;0,000;C0105
1083841;0,000;C0105
1083837;0,000;C0105
1104112;0,000;C0105
1088653;0,000;C0105
1115534;0,000;C0105
1080481;0,000;B0205
1080482;0,000;B0205
1083833;0,000;C0105
1090664;0,000;C0105
1090663;0,000;C0105
1083830;0,000;C0105
1093512;0,000;C0105
1104114;0,000;C0105
1085636;0,000;C0105
1083828;0,000;C0105
1088651;0,000;C0105
1104113;0,000;C0105
1085635;0,000;C0105
1083824;0,000;C0105
1093510;0,000;C0105
1083821;0,000;C0105
1080480;0,000;B0205
1095112;0,000;B0205
1095111;0,000;B0205
1095116;0,000;B0205
1080479;0,000;B0205
1080478;0,000;B0205
1102495;0,000;B0205
1080477;0,000;B0205
1095115;0,000;B0205
1109180;0,000;B0205
1080476;0,000;B0205
1080475;0,000;B0205
1088648;0,000;C0105
1087580;0,000;C0105
1083819;0,000;C0105
1083818;0,000;C0105
1080474;0,000;B0205
1109175;0,000;B0205
1080473;0,000;B0205
1080472;0,000;B0205
1080471;0,000;B0205
1085984;0,000;C0105
1085634;0,000;C0105
1104110;0,000;C0105
1104111;0,000;C0105
1083817;0,000;C0105
1085633;0,000;C0105
1099051;0,000;C0105
1116097;0,000;C0105
1116096;0,000;C0105
1115509;0,000;C0105
1085632;0,000;C0105
1095129;0,000;C0105
1099050;0,000;C0105
1083811;0,000;C0105
1083810;0,000;C0105
1083808;0,000;C0105
1099049;0,000;C0105
1085631;0,000;C0105
1083807;0,000;C0105
1083806;0,000;C0105
1083805;0,000;C0105
1083798;0,000;C0105
1083797;0,000;C0105
1109179;0,000;B0205
1109178;0,000;B0205
1109177;0,000;B0205
1095001;0,000;B0205
1095113;0,000;B0205
1095000;0,000;B0205
1095114;0,000;B0205
1080470;0,000;B0205
1095127;0,000;C0105
1109187;0,000;B0205
1109188;0,000;B0205
1095109;0,000;B0205
1095108;0,000;B0205
1109185;0,000;B0205
1109186;0,000;B0205
1109174;0,000;B0205
1109184;0,000;B0205
1095118;0,000;B0205
1080469;0,000;B0205
1080468;0,000;B0205
1095110;0,000;B0205
1080466;0,000;B0205
1080467;0,000;B0205
1090196;0,000;B0205
1080465;0,000;B0904
1105138;0,000;B0205
1098940;0,000;C0113
1104983;0,000;C0113
1098939;0,000;C0113
1098934;0,000;C0105
1098933;0,000;C0105
1085630;0,000;C0113
1083794;0,000;C0105
1104140;0,000;C0113
1100818;0,000;C0113
1096250;0,000;C0105
1085629;0,000;C0105
1098938;0,000;C0105
1098932;0,000;C0105
1083792;0,000;C0105
1096237;0,000;C0105
1083791;0,000;C0105
1083790;0,000;C0105
1083789;0,000;C0105
1098937;0,000;C0105
1083788;0,000;C0105
1102654;0,000;C0113
