ZboûÌ;Model;Kr·t.text zboûÌ;Stav skladu;PoËet SVM;»·stka;Blokov·no;V kontrole jakosti;KÛd GTIN
1085408;SCSWA1001;Sencor, subwoofer 400W, aktivnÌ;0,000;0,000;1599,00;0,000;0,000;8590669076475
1079532;WINTRANSFMCT;CL FMtransmitter, SD, USB, LCD;1;0,000;499,00;0,000;0,000;8591194046766
1079839;SWM181;FM transmitter,SD/USB;1;0,000;399,00;0,000;0,000;8590669117499
1096657;SWM160R;FM transmiter,SD/MMC/USB,LCD;0,000;0,000;349,00;0,000;0,000;8590669088980
1079838;SWM151;FM transmitter,USB,SD;1;0,000;349,00;0,000;0,000;8590669092871
1079837;SWM101;FM modul·tor, USB;0,000;0,000;249,00;0,000;1,000;8590669111954
1003371;HAMA45762;UNI. POWER SUPPL. AND CHA;5;0,000;169,00;0,000;0,000;4007249457622
1003301;HAMA43642;ADAPT.AUDI/VW/BMW/OPEL;5;0,000;99,00;0,000;0,000;4007249436429
1003374;46088;CD Auto adapter;5;0,000;359,00;0,000;0,000;4007249460882
1029898;S5252;KABEL KOAX.CB500 100M;16;0,000;15,00;0,000;0,000;8595025304872
1029896;S5141;KABEL KOAX.CB100F 100M;77;0,000;17,00;0,000;0,000;8595025309068
1029897;2305130000;KABEL KOAX. CB130 100M;224;0,000;7,00;0,000;0,000;8595025311757
1007198;2305113000;KOAXI¡LNÕ KABEL CB113;28;0,000;19,00;0,000;0,000;8595025304896
1079196;2305050201;KOAX. KABEL CB50F;380;0,000;14,00;0,000;0,000;8595025313478
1097697;SSV1202E;HDMI kabel s Ethernetem, 1.4;14;0,000;199,00;0,000;0,000;8592718013059
1079478;PROL1202;PG SKY HDMI 1.4 High Speed HDMI? Cable;3;0,000;999,00;0,000;0,000;8717587045349
1079477;PROL1201;PG SKY HDMI 1.4 High Speed HDMI? Cable w;4;0,000;1199,00;0,000;0,000;8717587045318
1111462;MASCOM8181030;HDMI kabel 3m,ver.1.4,FHD,3D, 4Kx2K,ARC;1;0,000;199,00;0,000;0,000;8594016908167
1101896;MASCOM8181015;HDMI kabel 1.5m,ver.1.4,FHD,3D,4Kx2K,ARC;27;0,000;169,00;0,000;0,000;8594016907009
1111463;HD18S1;HDMI kabel 1.8m,UHD,1.4,3D,ARC,p¯Ìm˝;20;0,000;259,00;0,000;0,000;7290003975907
1111464;HD18P2;HDMI kabel 1.8m,UHD,1.4,3D,ARC,kloubov˝;10;0,000;349,00;0,000;0,000;7290004574017
1111465;HD18P1;HDMI kabel 1.8m,UHD,1.4,3D,ARC,ploch˝,bÌ;8;0,000;399,00;0,000;0,000;7290003975952
1079254;BVB1004;BE BLUE 4-Way HDMI Switch Man.;5;0,000;999,00;0,000;0,000;8717587033810
1079252;BSVL1202;BE PRE HDMI 1.4 High Speed HDMI? Cable w;4;0,000;669,00;0,000;0,000;8717587041129
1079251;BSVL1201;BE PRE HDMI 1.4 High Speed HDMI? Cable w;2;0,000;549,00;0,000;0,000;8717587041099
1047736;BNBVL1702;HDMI 1.4 A conector - HDMI D conector, 2;1;0,000;499,00;0,000;0,000;8717587051654
1040569;BNBVL1205;HDMI 1.4, pozlacenÈ konektory;3;0,000;999,00;0,000;0,000;8717587045967
1079236;BNBBM39000W02;MHL kon. - HDMI + Micro USB B, 0.2m;2;0,000;739,00;0,000;0,000;8717587001055
1069711;BNBBM34700W20;HDMI 1.4 mikro, A kon. - D kon., 2m;2;0,000;419,00;0,000;0,000;8717587000911
1069710;BNBBM34700W10;HDMI 1.4 mikro, A kon. - D kon., 1m;3;0,000;369,00;0,000;0,000;8717587000904
1069713;BNBBM34500W20;HDMI 1.4 mini, A kon. - HDMI C kon., 1m;2;0,000;319,00;0,000;0,000;8717587000898
1069712;BNBBM34500W10;HDMI 1.4 mini, A kon. - HDMI C kon., 2m;2;0,000;269,00;0,000;0,000;8717587000881
1109456;4W KABEL HDMI 1.3;HDMI kabel 1.5m,ver.1.3, 19/19 M/M,Ëern˝;34;0,000;139,00;0,000;0,000;5908214333189
1097685;VLSP40000W15;AntÈnnÌ koax kabel 1,5m, bÌl˝;13;0,000;24,00;0,000;0,000;5412810183944
1097686;VLSP-40000W30;AntÈnnÌ koax kabel 3m, bÌl˝;18;0,000;29,00;0,000;0,000;5412810183999
1003220;HAMA42959;antÈnnÌ koax. kabel 1.5m, 75dB, bÌl˝;12;0,000;69,00;0,000;0,000;4047443036063
1087999;HAMA122419;Hama antÈnnÌ kabel vidlice-z·suvka, 3 m;3;0,000;219,00;0,000;0,000;4047443200860
1085428;BNBVP421;COAX SPLITTER MALE - 2XFEM;8;0,000;109,00;0,000;0,000;8717587014963
1004029;BNBPP655;COAX PLG/SKT NICKEL PLATED;7;0,000;69,00;0,000;0,000;8717587017322
1108895;7676-200W;Koaxi·lnÌ kabel,20m,F-F konektory,OFC;1;0,000;399,00;0,000;0,000;8594016908143
1108894;7676-175W;Koaxi·lnÌ kabel,17.5m,F-F konektory,OFC;2;0,000;299,00;0,000;0,000;8594016908136
1108893;7676-150W;Koaxi·lnÌ kabel,15m,F-F konektory,OFC;4;0,000;269,00;0,000;0,000;8594016908129
1108902;7676-100W;Koaxi·lnÌ kabel,10m,F-F konektory,OFC;8;0,000;179,00;0,000;0,000;8594016908105
1108891;7676-030W;Koaxi·lnÌ kabel,3m,F-F konektory,OFC;2;0,000;109,00;0,000;0,000;8594016908075
1108890;7676-015W;Koaxi·lnÌ kabel,1.5m,F-F konektory,OFC;8;0,000;79,00;0,000;0,000;8594016908051
1108892;7600-080W;Koaxi·lnÌ kabel,8m,F-F konektory,OFC;8;0,000;99,00;0,000;0,000;8594016908068
1097681;CBLSCART03LC;Kabel 2x SCART 21pin 1,5m;19;0,000;99,00;0,000;0,000;5412810016419
1003859;SAL5602;Premium optick˝ kabel TOS, 2m;3;0,000;459,00;0,000;0,000;8717587006098
1079332;F3Y124BF;2.5mm-M / 3.5mm-F audio adaptÈr;7;0,000;99,00;0,000;0,000;722868847121
1079235;BNBBM22000W30;3,5mm JACK kon. - 3,5mm JACK kon., 3m;2;0,000;169,00;0,000;0,000;8717587000768
1079234;BNBBM22000W20;3,5mm JACK kon. - 3,5mm JACK kon., 2m;4;0,000;139,00;0,000;0,000;8717587000751
1079233;BNBBM22000W10;3,5mm JACK kon. - 3,5mm JACK kon., 1m;5;0,000;129,00;0,000;0,000;8717587000744
1006731;S5371;KABEL KOAX.CB120 100M;243;0,000;15,00;0,000;0,000;8595025311740
1097905;S5263;KABEL KOAX.CB113N 100M;269;0,000;19,00;0,000;0,000;8595025304919
1029895;S5131;univerz·lnÌ kabel s pÏnov˝m dielektrikem;20;0,000;15,00;0,000;0,000;8595025309044
1007569;S5111S;KABEL KOAX.3C2V 100M;46;0,000;11,00;0,000;0,000;8595025309037
1098879;S10O2N13X;SANDSTROM Toslink 2m;3;0,000;98,00;0,000;0,000;5017416495493
1007561;P0003C;DRZAK PRODLUZ.PRIVODU;9;0,000;39,00;0,000;0,000;8595025310002
1098878;L2HDMI10;LOGIK 2m HDMI kabel v1.4;3;0,000;359,00;0,000;0,000;5017416375283
1097906;J0199;J0199,rozboËovaË EU 2501/D194,ferit;10;0,000;49,00;0,000;0,000;8595025374790
1079405;HAMA83192;AntÈnnÌ kabel 120 dB, 5 m, pozlacen˝;2;0,000;719,00;0,000;0,000;4007249831927
1079404;HAMA83191;AntÈnnÌ kabel 120dB, 3 m, pozlacen˝;3;0,000;549,00;0,000;0,000;4007249831910
1079403;HAMA83190;antÈnnÌ kabel 120dB, 1,5m;4;0,000;439,00;0,000;0,000;4007249831903
1097946;HAMA83012;AdaptÈr HDMI z·suvka-HDMI vidlice,otoËn˝;2;0,000;258,00;0,000;0,000;4007249830128
1003347;HAMA45202;Scart vidlice - scart vidlice, 21pol.;13;0,000;129,00;0,000;0,000;4047443063335
1097941;HAMA43659;AUTO HIFI ADAPT…R 4X CINCH;1;0,000;98,00;0,000;0,000;4007249436597
